name	category	n_sold	price	shop_address	image_url	url
Điện thoại Nokia 6300 đầy đủ pin sạc màu bạc	DIENTHOAI	2700.0	289900.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/f4c349571ea8639ed2ddce4e1a35233c_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-6300-%C4%91%E1%BA%A7y-%C4%91%E1%BB%A7-pin-s%E1%BA%A1c-m%C3%A0u-b%E1%BA%A1c-i.39413762.5162298482
Điện thoại Samsung Galaxy A10s (32GB/2GB) - Hãng phân phối chính thức	DIENTHOAI	14800.0	2690000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/7ea7ceb4dfdce335a34372279e401917_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-A10s-(32GB-2GB)-H%C3%A3ng-ph%C3%A2n-ph%E1%BB%91i-ch%C3%ADnh-th%E1%BB%A9c-i.65589552.2693593903
Điện Thoại Siêu Dễ Thương Mini BM10	DIENTHOAI	6000.0	169000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/22ac0bf9b42272b917013f1ddb749646_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Si%C3%AAu-D%E1%BB%85-Th%C6%B0%C6%A1ng-Mini-BM10-i.70094786.6602136609
điện thoại Samsung galaxy s7 1 sim Nhiều màu.... giá cả hợp lý	DIENTHOAI	3700.0	1850000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/d5d3b342d3f03a5dfc8e7abd38671d90_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Samsung-galaxy-s7-1-sim-Nhi%E1%BB%81u-m%C3%A0u....-gi%C3%A1-c%E1%BA%A3-h%E1%BB%A3p-l%C3%BD-i.325866827.7058523196
Điện Thoại OPPO A12 (3GB/32GB) - Hàng Chính Hãng	DIENTHOAI	4500.0	2990000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/596e3c4a1776231b9c7e734be755f721_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-OPPO-A12-(3GB-32GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.25452983.3431975072
Điện Thoại Mini Nokia 2 Sim Cute	DIENTHOAI	5900.0	35000.0	Lạng Sơn	https://cf.shopee.vn/file/fe3b795f597c482ae221789fe2141537_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Mini-Nokia-2-Sim-Cute-i.130503882.2144758053
điện thoại CHÍNH HÃNG Oppo F9 ram 6G Bộ nhớ 64G MỚI, chơi LIÊN QUÂN-PUBG-FREE FIRE ngon lành	DIENTHOAI	3000.0	2550000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/fce1bc6bc0842701344fa51996094813_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-CH%C3%8DNH-H%C3%83NG-Oppo-F9-ram-6G-B%E1%BB%99-nh%E1%BB%9B-64G-M%E1%BB%9AI-ch%C6%A1i-LI%C3%8AN-QU%C3%82N-PUBG-FREE-FIRE-ngon-l%C3%A0nh-i.48782032.5341262131
Điện thoại Nokia 1202 mới, giá tốt bao xài	DIENTHOAI	2900.0	179000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/c4a5a062fc2b8b73ae6458be70fab645_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1202-m%E1%BB%9Bi-gi%C3%A1-t%E1%BB%91t-bao-x%C3%A0i-i.39413762.3262460667
Điện Thoại Nokia 6300 Chính Hãng Bảo Hành 12 Tháng Có Đèn Báo Cuộc Gọi Nhỡ imeil Chuẩn Trùng	DIENTHOAI	5400.0	285000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/bd3197715a7a4bd06d3b637b371ad8b3_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-6300-Ch%C3%ADnh-H%C3%A3ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-C%C3%B3-%C4%90%C3%A8n-B%C3%A1o-Cu%E1%BB%99c-G%E1%BB%8Di-Nh%E1%BB%A1-imeil-Chu%E1%BA%A9n-Tr%C3%B9ng-i.70094786.1220835572
Điện thoại Siêu Nhỏ B3310 02 sim 02 sóng gắn được thẻ nhớ	DIENTHOAI	3700.0	52000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/9d57d34f67f6e43bf00951a7fe004410_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Si%C3%AAu-Nh%E1%BB%8F-B3310-02-sim-02-s%C3%B3ng-g%E1%BA%AFn-%C4%91%C6%B0%E1%BB%A3c-th%E1%BA%BB-nh%E1%BB%9B-i.83813714.2128956919
