id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
81	Máy tính bảng ipad 2 32/16Gb chính hãng bản Wifi - tặng kèm phụ kiện hỗ trợ tải ứng dụng - bảo hành dài 6-12 tháng	4.9	39.0	76.0	399000.0	406.0	38.0	0.0	0.0	0.0	1.0	27.0	17.0	duongbimbimm	1500.0	147.0	95%	trong vài giờ	13 tháng trước	8500.0
82	Máy Tính Bảng HUAWEI MatePad Pro (6GB+128GB) - Kèm bút cảm+ứng Bàn phím	4.8	24.0	50.0	19970000.0	168.0	23.0	0.0	0.0	0.0	1.0	10.0	7.0	huawei_flagship_store	2400.0	38.0	100%	trong vài phút	26 tháng trước	46500.0
83	MÁY TÍNH BẢNG FIRE HD 8 MỚI NHẤT NĂM 2020 TẶNG KÈM ỐP LƯNG SIÊU ĐẸP	5.0	17.0	34.0	2100000.0	57.0	17.0	0.0	0.0	0.0	0.0	11.0	7.0	mainth246	317.0	73.0	93%	trong vài phút	31 tháng trước	619.0
84	Máy Đọc Sách Kobo Máy Đẹp Có Chứng Từ Nguồn Gốc Xuất Xứ Nhật Bản	5.0	77.0	151.0	1050000.0	117.0	73.0	3.0	0.0	0.0	0.0	53.0	35.0	momotaro.vn	634.0	482.0	94%	trong vài giờ	35 tháng trước	955.0
85	Máy đọc sách Kindle Basic 2019 - All-new-kindle 2019 có đèn nền, màn hình 6’’ chống khúc xạ ánh sáng, nghe Audible, 4GB	5.0	13.0	346.0	1600000.0	25.0	13.0	0.0	0.0	0.0	0.0	10.0	6.0	kindlehanoi.vn	190.0	31.0	88%	trong vài giờ	4 năm trước	195.0
86	Máy đọc sách All-new Kindle 10th Generation - 2019 (4GB/8GB) NEW 100%	5.0	52.0	115.0	2075000.0	447.0	44.0	0.0	0.0	0.0	0.0	24.0	18.0	xaha123	485.0	128.0	96%	trong vài giờ	18 tháng trước	6700.0
87	[Mua 1 tặng 8]Asus Zenpad z8s tặng bao da, cường lực, đế dựng, dán 3 lớp, tienganh123, luyenthi123, khăn lau, free ship	4.9	53.0	95.0	2277440.0	99.0	49.0	3.0	0.0	0.0	0.0	30.0	20.0	thang144	181.0	54.0	96%	trong vài giờ	4 năm trước	296.0
88	Máy Tính Bảng Apple iPad Gen 8 2020 32GB wifi - Hàng Chính Hãng	5.0	22.0	46.0	9710000.0	66.0	22.0	0.0	0.0	0.0	0.0	16.0	9.0	shopdunk_official_store	208.0	75.0	96%	trong vài giờ	5 tháng trước	10200.0
89	[Nhập ELSSMT800 giảm 800K] Máy Tính Bảng Samsung Galaxy Tab A7 - Hãng Phân Phối Chính Thức	4.7	37.0	101.0	6990000.0	145.0	33.0	0.0	1.0	0.0	2.0	22.0	14.0	samsung_official_store	20300.0	235.0	100%	trong vài giờ	33 tháng trước	80900.0
90	Máy đọc sách Kindle paperwhite gen 4 new nguyên seal 10th 2019	5.0	17.0	35.0	2800000.0	33.0	15.0	0.0	0.0	0.0	0.0	10.0	9.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
91	Máy đọc sách Kindle Paperwhite Gen 4 (10th), màn hình 6'' 300PPI, Darkmode, chống nước, audible, bộ nhớ 8-32GB	5.0	19.0	278.0	2400000.0	19.0	19.0	0.0	0.0	0.0	0.0	16.0	10.0	kindlehanoi.vn	190.0	31.0	88%	trong vài giờ	4 năm trước	195.0
92	[Win10 + Bút Wacom] Máy tính bảng 2 in 1 Lenovo Thinkpad 10 4GB RAM.	5.0	26.0	48.0	3890000.0	455.0	18.0	1.0	0.0	0.0	0.0	12.0	9.0	anhtutablets	1300.0	69.0	88%	trong vài giờ	4 năm trước	5200.0
93	[Win10 + Bút Wacom] Máy tính bảng 2 in 1 Lenovo Thinkpad Helix 2 SSD.	4.8	20.0	34.0	6490000.0	113.0	19.0	0.0	0.0	1.0	0.0	16.0	9.0	anhtutablets	1300.0	69.0	88%	trong vài giờ	4 năm trước	5200.0
94	Máy TÍnh Bảng HUAWEI Matepad T8 2G/32G- Thẻ nhớ ngoài 512GB	4.8	16.0	34.0	3140000.0	93.0	15.0	0.0	0.0	0.0	1.0	6.0	6.0	huawei_flagship_store	2400.0	38.0	100%	trong vài phút	26 tháng trước	46500.0
95	[Tặng bao da]Máy đọc sách Kindle paperwhite gen 2 hàng cũ máy đẹp( có đèn nền)	5.0	125.0	215.0	1330000.0	167.0	58.0	0.0	0.0	0.0	0.0	33.0	24.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
96	[Tặng bao da ] Máy đọc sách kindle paperwhite 3 trắng hàng used máy đẹp ( có đèn nền )	5.0	16.0	36.0	1700000.0	27.0	16.0	0.0	0.0	0.0	0.0	13.0	9.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
